id,kanji,reading,char,on,kun,strokes
170,測定,そくてい,定,テイ・ジョウ,さだ.める・さだ.まる・さだ.か,8
171,測量,そくりょう,測,ソク,はか.る,12
171,測量,そくりょう,量,リョウ,はか.る,12
172,速力,そくりょく,速,ソク,はや.い・はや-・はや.める・すみ.やか,10
172,速力,そくりょく,力,リョク・リキ・リイ,ちから,2
173,素質,そしつ,素,ソ・ス,もと,10
173,素質,そしつ,質,シツ・シチ・チ,たち・ただ.す・もと・わりふ,15
174,祖先,そせん,祖,ソ,,9
174,祖先,そせん,先,セン,さき・ま.ず,6
175,算盤,そろばん,算,サン,そろ,14
175,算盤,そろばん,盤,バン,,15
176,損得,そんとく,損,ソン,そこ.なう・そこな.う・-そこ.なう・そこ.ねる・-そこ.ねる,13
176,損得,そんとく,得,トク,え.る・う.る,11
177,田ぼ,たんぼ,田,デン,た,5
178,大学院,だいがくいん,大,ダイ・タイ,おお-・おお.きい・-おお.いに,3
178,大学院,だいがくいん,学,ガク,まな.ぶ,8
178,大学院,だいがくいん,院,イン,,10
179,大工,だいく,大,ダイ・タイ,おお-・おお.きい・-おお.いに,3
179,大工,だいく,工,コウ・ク・グ,,3
180,体系,たいけい,体,タイ・テイ,からだ・かたち,7
180,体系,たいけい,系,ケイ,,7
181,太鼓,たいこ,太,タイ・タ,ふと.い・ふと.る,4
181,太鼓,たいこ,鼓,コ,つづみ,13
182,対策,たいさく,対,タイ・ツイ,あいて・こた.える・そろ.い・つれあ.い・なら.ぶ・むか.う,7
182,対策,たいさく,策,サク,,12
183,大小,だいしょう,大,ダイ・タイ,おお-・おお.きい・-おお.いに,3
183,大小,だいしょう,小,ショウ,ちい.さい・こ-・お-・さ-,3
184,体制,たいせい,体,タイ・テイ,からだ・かたち,7
