kanji,reading,level,pos,meaning_en
踏む,ふむ,N4,v5m,"""to step on"""
盗む,ぬすむ,N4,v5m,"""to steal"""
鳴る,なる,N4,v5r,"""to sound"""
生きる,いきる,N4,v1,"""to live"""
沸く,わく,N4,v5k,"""to grow hot (e.g. water)"""
折る,おる,N4,v5r,"""to break"""
聞こえる,きこえる,N4,v1,"""to be heard"""
壊す,こわす,N4,v5s,"""to break"""
怒る,おこる,N4,v5r,"""to get angry"""
止む,やむ,N4,v5m,"""to cease"""
拾う,ひろう,N4,v5u,"""to pick up"""
比べる,くらべる,N4,v1,"""to compare"""
焼く,やく,N4,v5k,"""to burn"""
建てる,たてる,N4,v1,"""to build"""
通る,とおる,N4,v5r,"""to go by"""
過ぎる,すぎる,N4,v1,"""to pass through"""
止める,やめる,N4,v1,"""to stop (an activity)"""
壊れる,こわれる,N4,v1,"""to be broken"""
揺れる,ゆれる,N4,v1,"""to shake"""
落る,おちる,N4,v1,"""to fall"""
祈る,いのる,N4,v5r,"""to pray"""
起こす,おこす,N4,v5s,"""to raise"""
致す,いたす,N4,v5s,"""to do"""
噛む,かむ,N4,v5m,"""to bite"""
思う,おもう,N4,v5u,"""to think"""
申し上げる,もうしあげる,N4,v1,"""to say"""
迎える,むかえる,N4,v1,"""to go out to meet"""
触る,さわる,N4,v5r,"""to touch"""
捕まえる,つかまえる,N4,v1,"""to catch"""
寄る,よる,N4,v5r,"""to approach"""
決まる,きまる,N4,v5r,"""to be decided"""
開く,ひらく,N4,v5k,"""to open"""
逃げる,にげる,N4,v1,"""to run away"""
包む,つつむ,N4,v5m,"""to wrap up"""
飾る,かざる,N4,v5r,"""to decorate"""
止める,とめる,N4,v1,"""to stop"""
頑張る,がんばる,N4,v5r,"""to persevere"""
投げる,なげる,N4,v1,"""to throw"""
受ける,うける,N4,v1,"""to receive"""
間違える,まちがえる,N4,v1,"""to make a mistake (in)"""
足りる,たりる,N4,v1,"""to be sufficient"""
行う,おこなう,N4,v5u,"""to perform"""
無くなる,なくなる,N4,v5r,"""to be lost (e.g. luggage)"""
痩せる,やせる,N4,v1,"""to become thin"""
決める,きめる,N4,v1,"""to decide"""
調べる,しらべる,N4,v1,"""to examine"""
光る,ひかる,N4,v5r,"""to shine"""
捨てる,すてる,N4,v1,"""to throw away"""
知らせる,しらせる,N4,v1,"""to notify"""
始める,はじめる,N4,v1,"""to start"""
泣く,なく,N4,v5k,"""to cry"""
治る,なおる,N4,v5r,"""to get better"""
残る,のこる,N4,v5r,"""to remain"""
立てる,たてる,N4,v1,"""to stand up"""
驚く,おどろく,N4,v5k,"""to be surprised"""
漬ける,つける,N4,v1,"""to soak (in)"""
増える,ふえる,N4,v1,"""to increase"""
選ぶ,えらぶ,N4,v5b,"""to choose"""
届ける,とどける,N4,v1,"""to deliver"""
乾く,かわく,N4,v5k,"""to get dry"""
思い出す,おもいだす,N4,v5s,"""to recall"""
踊る,おどる,N4,v5r,"""to dance (orig. a hopping dance)"""
塗る,ぬる,N4,v5r,"""to paint"""
探す,さがす,N4,v5s,"""to search for"""
育てる,そだてる,N4,v1,"""to raise"""
通う,かよう,N4,v5u,"""to go to and from (a place)"""
連れる,つれる,N4,v1,"""to take (someone) with one"""
進む,すすむ,N4,v5m,"""to advance"""
楽む,たのしむ,N4,v5m,"""to enjoy"""
申す,もうす,N4,v5s,"""to say"""
泊まる,とまる,N4,v5r,"""to stay at (e.g. hotel)"""
喜ぶ,よろこぶ,N4,v5b,"""to be delighted"""
引っ越す,ひっこす,N4,v5s,"""to move (house)"""
亡くなる,なくなる,N4,v5r,"""to die"""
差し上げる,さしあげる,N4,v1,"""to lift up"""
片付ける,かたづける,N4,v1,"""to put in order"""
写す,うつす,N4,v5s,"""to copy"""
足す,たす,N4,v5s,"""to add (numbers)"""
暮れる,くれる,N4,v1,"""to get dark"""
釣る,つる,N4,v5r,"""to fish"""
打つ,うつ,N4,v5t,"""to hit"""
謝る,あやまる,N4,v5r,"""to apologize"""
伺う,うかがう,N4,v5u,"""to call on someone"""
叱る,しかる,N4,v5r,"""to scold"""
変える,かえる,N4,v1,"""to change"""
沸かす,わかす,N4,v5s,"""to boil"""
空く,あく,N4,v5k,"""to open (e.g. doors)"""
変わる,かわる,N4,v5r,"""to change"""
済む,すむ,N4,v5m,"""to finish"""
見える,みえる,N4,v1,"""to be seen"""
折れる,おれる,N4,v1,"""to break"""
伝える,つたえる,N4,v1,"""to convey"""
滑る,すべる,N4,v5r,"""to slide"""
送る,おくる,N4,v5r,"""to send"""
騒ぐ,さわぐ,N4,v5g,"""to make noise"""
尋ねる,たずねる,N4,v1,"""to ask"""
負ける,まける,N4,v1,"""to lose"""
見つける,みつける,N4,v1,"""to find"""
下りる,おりる,N4,v1,"""to descend (e.g. a mountain)"""
似る,にる,N4,v1,"""to resemble"""
慣れる,なれる,N4,v1,"""to get used to"""
手伝う,てつだう,N4,v5u,"""to help"""
笑う,わらう,N4,v5u,"""to laugh"""
運ぶ,はこぶ,N4,v5b,"""to carry"""
下る,さがる,N4,v5r,"""to come down"""
褒める,ほめる,N4,v1,"""to praise"""
空く,すく,N4,v5k,"""to become less crowded"""
合う,あう,N4,v5u,"""to come together"""
遅れる,おくれる,N4,v1,"""to be late"""
見つかる,みつかる,N4,v5r,"""to be found"""
召し上がる,めしあがる,N4,v5r,"""to eat"""
太る,ふとる,N4,v5r,"""to put on weight"""
直る,なおる,N4,v5r,"""to get mended"""
集める,あつめる,N4,v1,"""to collect"""
直す,なおす,N4,v5s,"""to repair"""
続く,つづく,N4,v5k,"""to continue"""
払う,はらう,N4,v5u,"""to pay (e.g. money"
焼ける,やける,N4,v1,"""to burn"""
冷える,ひえる,N4,v1,"""to grow cold"""
点く,つく,N4,v5k,"""to be lit (of a lamp"
続ける,つづける,N4,v1,"""to continue"""
落す,おとす,N4,v5s,"""to drop"""
割れる,われる,N4,v1,"""to break"""
濡れる,ぬれる,N4,v1,"""to get wet"""
倒れる,たおれる,N4,v1,"""to fall (over"
考える,かんがえる,N4,v1,"""to think (about"
向かう,むかう,N4,v5u,"""to face"""
移る,うつる,N4,v5r,"""to move (house)"""
動く,うごく,N4,v5k,"""to move"""
植える,うえる,N4,v1,"""to plant"""
汚れる,よごれる,N4,v1,"""to get dirty"""
勝つ,かつ,N4,v5t,"""to win"""
取り替える,とりかえる,N4,v1,"""to exchange"""
急ぐ,いそぐ,N4,v5g,"""to hurry"""
参る,まいる,N4,v5r,"""to go"""
間に合う,まにあう,N4,v5u,"""to be in time (for)"""
戻る,もどる,N4,v5r,"""to turn back (e.g. half-way)"""
込む,こむ,N4,v5m,"""to be crowded"""
訪ねる,たずねる,N4,v1,"""to visit"""
下げる,さげる,N4,v1,"""to hang"""
乗り換える,のりかえる,N4,v1,"""to transfer (trains)"""
別れる,わかれる,N4,v1,"""to part (usu. of people)"""
眠る,ねむる,N4,v5r,"""to sleep"""
上がる,あがる,N4,v5r,"""to rise"""
集まる,あつまる,N4,v5r,"""to gather"""
