kanji,reading,level,pos,meaning_en
時間,じかん,N5,n,"""time"""
仕事,しごと,N5,n,"""work"""
辞書,じしょ,N5,n,"""dictionary"""
下,した,N5,n,"""below"""
七,しち,N5,num,"""seven"""
質問,しつもん,N5,n,"""question"""
自転車,じてんしゃ,N5,n,"""bicycle"""
自動車,じどうしゃ,N5,n,"""car"""
字引,じびき,N5,n,"""dictionary"""
写真,しゃしん,N5,n,"""photograph"""
シャツ,シャツ,N5,n,"""shirt (undergarment)"""
シャワー,シャワー,N5,n,"""shower"""
十,じゅう,N5,num,"""ten"""
授業,じゅぎょう,N5,n,"""lesson"""
宿題,しゅくだい,N5,n,"""homework"""
醤油,しょうゆ,N5,n,"""soy sauce"""
食堂,しょくどう,N5,n,"""dining room"""
白,しろ,N5,n,"""white"""
新聞,しんぶん,N5,n,"""newspaper"""
水曜日,すいようび,N5,n,"""Wednesday"""
スカート,スカート,N5,n,"""skirt"""
ストーブ,ストーブ,N5,n,"""(room) heater"""
スプーン,スプーン,N5,n,"""spoon"""
スポーツ,スポーツ,N5,n,"""sport"""
背,せい,N5,n,"""height"""
生徒,せいと,N5,n,"""pupil"""
セーター,セーター,N5,n,"""sweater"""
石鹸,せっけん,N5,n,"""soap"""
背広,せびろ,N5,n,"""business suit"""
千,せん,N5,num,"""thousand"""
先月,せんげつ,N5,n,"""last month"""
先週,せんしゅう,N5,n,"""last week"""
先生,せんせい,N5,n,"""teacher"""
洗濯,せんたく,N5,n,"""washing"""
全部,ぜんぶ,N5,n,"""all"""
外,そと,N5,n,"""outside"""
空,そら,N5,n,"""sky"""
大学,だいがく,N5,n,"""university"""
大使館,たいしかん,N5,n,"""embassy"""
台所,だいどころ,N5,n,"""kitchen"""
タクシー,タクシー,N5,n,"""taxi"""
建物,たてもの,N5,n,"""building"""
食べ物,たべもの,N5,n,"""food"""
卵,たまご,N5,n,"""eggs"""
誕生日,たんじょうび,N5,n,"""birthday"""
近く,ちかく,N5,n,"""near"""
地下鉄,ちかてつ,N5,n,"""subway"""
地図,ちず,N5,n,"""map"""
父,ちち,N5,n,"""father"""
茶色,ちゃいろ,N5,n,"""brown"""
茶碗,ちゃわん,N5,n,"""rice bowl"""
一日,ついたち,N5,n,"""first day of the month"""
次,つぎ,N5,n,"""next"""
机,つくえ,N5,n,"""desk"""
手,て,N5,n,"""hand"""
テープ,テープ,N5,n,"""tape"""
テープレコーダー,テープレコーダー,N5,n,"""tape recorder"""
テーブル,テーブル,N5,n,"""table"""
手紙,てがみ,N5,n,"""letter"""
出口,でぐち,N5,n,"""exit"""
テスト,テスト,N5,n,"""test (of ability"
デパート,デパート,N5,n,"""department store"""
テレビ,テレビ,N5,n,"""television"""
天気,てんき,N5,n,"""weather"""
