kanji,reading,level,pos,meaning_en
会う,あう,N5,v5u,"""to meet"""
開く,あく,N5,v5k,"""to open (e.g. doors)"""
開ける,あける,N5,v1,"""to open (a door"
上げる,あげる,N5,v1,"""to raise"""
遊ぶ,あそぶ,N5,v5b,"""to play (games"
浴びる,あびる,N5,v1,"""to dash over oneself (e.g. water)"""
洗う,あらう,N5,v5u,"""to wash"""
在る,ある,N5,v5r-i,"""to be"""
有る,ある,N5,v5r-i,"""to be"""
歩く,あるく,N5,v5k,"""to walk"""
言う,いう,N5,v5u,"""to say"""
居る,いる,N5,v1,"""to be (of animate objects)"""
要る,いる,N5,v5r,"""to be needed"""
入れる,いれる,N5,v1,"""to put in"""
歌う,うたう,N5,v5u,"""to sing"""
生まれる,うまれる,N5,v1,"""to be born"""
売る,うる,N5,v5r,"""to sell"""
起きる,おきる,N5,v1,"""to get up"""
置く,おく,N5,v5k,"""to put"""
教える,おしえる,N5,v1,"""to teach"""
押す,おす,N5,v5s,"""to push"""
覚える,おぼえる,N5,v1,"""to memorize"""
泳ぐ,およぐ,N5,v5g,"""to swim"""
降りる,おりる,N5,v1,"""to descend (e.g. a mountain)"""
終る,おわる,N5,v5r,"""to end"""
買う,かう,N5,v5u,"""to buy"""
返す,かえす,N5,v5s,"""to return (something)"""
帰る,かえる,N5,v5r,"""to return"""
書く,かく,N5,v5k,"""to write"""
掛ける,かける,N5,v1,"""to hang up (e.g. a coat"
貸す,かす,N5,v5s,"""to lend"""
借りる,かりる,N5,v1,"""to borrow"""
消える,きえる,N5,v1,"""to disappear"""
聞く,きく,N5,v5k,"""to hear"""
切る,きる,N5,v5r,"""to cut"""
着る,きる,N5,v1,"""to wear (from the shoulders down)"""
曇る,くもる,N5,v5r,"""to get cloudy"""
来る,くる,N5,vk,"""to come (spatially or temporally)"""
消す,けす,N5,v5s,"""to erase"""
答える,こたえる,N5,v1,"""to answer"""
困る,こまる,N5,v5r,"""to be troubled"""
咲く,さく,N5,v5k,"""to bloom"""
差す,さす,N5,v5s,"""to shine"""
死ぬ,しぬ,N5,v5n,"""to die"""
閉まる,しまる,N5,v5r,"""to be shut"""
閉める,しめる,N5,v1,"""to close"""
締める,しめる,N5,v1,"""to tie"""
知る,しる,N5,v5r,"""to know"""
吸う,すう,N5,v5u,"""to smoke"""
住む,すむ,N5,v5m,"""to live (of humans)"""
座る,すわる,N5,v5r,"""to sit (down)"""
出す,だす,N5,v5s,"""to take out"""
立つ,たつ,N5,v5t,"""to stand (up)"""
頼む,たのむ,N5,v5m,"""to request"""
食べる,たべる,N5,v1,"""to eat"""
違う,ちがう,N5,v5u,"""to differ (from)"""
使う,つかう,N5,v5u,"""to use (a tool"
疲れる,つかれる,N5,v1,"""to get tired"""
着く,つく,N5,v5k,"""to arrive at"""
作る,つくる,N5,v5r,"""to make"""
勤める,つとめる,N5,v1,"""to work (for)"""
出かける,でかける,N5,v1,"""to go out (e.g. on an excursion or outing)"""
出る,でる,N5,v1,"""to leave"""
飛ぶ,とぶ,N5,v5b,"""to fly"""
止まる,とまる,N5,v5r,"""to stop (moving)"""
取る,とる,N5,v5r,"""to take"""
撮る,とる,N5,v5r,"""to take (a photograph)"""
鳴く,なく,N5,v5k,"""to make sound (of an animal)"""
無くす,なくす,N5,v5s,"""to lose (something)"""
習う,ならう,N5,v5u,"""to take lessons in"""
並ぶ,ならぶ,N5,v5b,"""to line up"""
並べる,ならべる,N5,v1,"""to line up"""
脱ぐ,ぬぐ,N5,v5g,"""to take off (clothes"
寝る,ねる,N5,v1,"""to sleep (lying down)"""
登る,のぼる,N5,v5r,"""to ascend"""
飲む,のむ,N5,v5m,"""to drink"""
乗る,のる,N5,v5r,"""to get on (train"
入る,はいる,N5,v5r,"""to enter"""
始まる,はじまる,N5,v5r,"""to begin"""
走る,はしる,N5,v5r,"""to run"""
働く,はたらく,N5,v5k,"""to work"""
話す,はなす,N5,v5s,"""to talk"""
貼る,はる,N5,v5r,"""to stick"""
晴れる,はれる,N5,v1,"""to clear up"""
引く,ひく,N5,v5k,"""to pull"""
弾く,ひく,N5,v5k,"""to play (a stringed or keyboard instrument)"""
吹く,ふく,N5,v5k,"""to blow (of the wind)"""
降る,ふる,N5,v5r,"""to fall (of rain"
曲る,まがる,N5,v5r,"""to bend"""
待つ,まつ,N5,v5t,"""to wait"""
磨く,みがく,N5,v5k,"""to polish"""
見せる,みせる,N5,v1,"""to show"""
見る,みる,N5,v1,"""to see"""
持つ,もつ,N5,v5t,"""to hold (in one's hand)"""
休む,やすむ,N5,v5m,"""to be absent"""
呼ぶ,よぶ,N5,v5b,"""to call out (to)"""
読む,よむ,N5,v5m,"""to read"""
分かる,わかる,N5,v5r,"""to understand"""
忘れる,わすれる,N5,v1,"""to forget"""
渡す,わたす,N5,v5s,"""to ferry across (e.g. a river)"""
渡る,わたる,N5,v5r,"""to cross over"""
