kanji,reading,level,pos,meaning_en
嫌,いや,N5,adj-na,"""disliking"""
色々,いろいろ,N5,adj-na,"""various"""
嫌い,きらい,N5,adj-na,"""disliked"""
綺麗,きれい,N5,adj-na,"""pretty"""
結構,けっこう,N5,adj-na,"""splendid"""
元気,げんき,N5,adj-na,"""lively"""
静か,しずか,N5,adj-na,"""quiet"""
上手,じょうず,N5,adj-na,"""skillful"""
丈夫,じょうぶ,N5,adj-na,"""healthy"""
好き,すき,N5,adj-na,"""liking"""
大丈夫,だいじょうぶ,N5,adj-na,"""safe"""
大好き,だいすき,N5,adj-na,"""liking very much"""
大切,たいせつ,N5,adj-na,"""important"""
沢山,たくさん,N5,adj-no,"""a lot"""
隣,となり,N5,adj-no,"""next (to)"""
下手,へた,N5,adj-na,"""unskillful"""
便利,べんり,N5,adj-na,"""convenient"""
有名,ゆうめい,N5,adj-na,"""famous"""
