恋する,こいする,N1,vs-i,"""to fall in love (with)"""
心掛ける,こころがける,N1,v1,"""to keep in mind"""
志す,こころざす,N1,v5s,"""to plan"""
試みる,こころみる,N1,v1,"""to try"""
込める,こめる,N1,v1,"""to load (a gun"
籠もる,こもる,N1,v5r,"""to shut oneself in (e.g. one's room)"""
凝らす,こらす,N1,v5s,"""to concentrate"""
懲りる,こりる,N1,v1,"""to learn by experience"""
凝る,こる,N1,v5r,"""to become stiff (of muscles)"""
遮る,さえぎる,N1,v5r,"""to interrupt"""
冴える,さえる,N1,v1,"""to be clear (of a sight"
栄える,さかえる,N1,v1,"""to prosper"""
捧げる,ささげる,N1,v1,"""to lift up"""
差し掛かる,さしかかる,N1,v5r,"""to come near (to)"""
差し出す,さしだす,N1,v5s,"""to hold out"""
差し支える,さしつかえる,N1,v1,"""to interfere (with)"""
授ける,さずける,N1,v1,"""to grant"""
定まる,さだまる,N1,v5r,"""to become settled"""
定める,さだめる,N1,v1,"""to decide"""
察する,さっする,N1,vs-s,"""to guess"""
悟る,さとる,N1,v5r,"""to perceive"""
サボる,サボる,N1,v5r,"""to be truant"""
障る,さわる,N1,v5r,"""to be harmful to"""
仕上げる,しあげる,N1,v1,"""to finish up"""
仕入れる,しいれる,N1,v1,"""to buy (stock"
強いる,しいる,N1,v1,"""to force"""
仕掛ける,しかける,N1,v1,"""to start"""
げっそり,げっそり,N1,vs,"""to be disheartened"""
蹴飛ばす,けとばす,N1,v5s,"""to kick away"""
煙る,けむる,N1,v5r,"""to smoke (e.g. fire)"""
尊ぶ,とうとぶ,N1,v5b,"""to value"""
遠ざかる,とおざかる,N1,v5r,"""to go away"""
研ぐ,とぐ,N1,v5g,"""to sharpen"""
遂げる,とげる,N1,v1,"""to accomplish"""
途絶える,とだえる,N1,v1,"""to stop"""
滞る,とどこおる,N1,v5r,"""to stagnate"""
整える,ととのえる,N1,v1,"""to put in order"""
止める,とどめる,N1,v1,"""to stop"""
唱える,となえる,N1,v1,"""to recite"""
富む,とむ,N1,v5m,"""to be rich in"""
伴う,ともなう,N1,v5u,"""to accompany"""
取り扱う,とりあつかう,N1,v5u,"""to handle"""
取り組む,とりくむ,N1,v5m,"""to grapple with"""
取り締まる,とりしまる,N1,v5r,"""to manage"""
取り調べる,とりしらべる,N1,v1,"""to investigate"""
取り立てる,とりたてる,N1,v1,"""to collect (debts)"""
取り次ぐ,とりつぐ,N1,v5g,"""to pass on (a message"
取り付ける,とりつける,N1,v1,"""to install"""
取り除く,とりのぞく,N1,v5k,"""to remove"""
取り巻く,とりまく,N1,v5k,"""to surround"""
取り混ぜる,とりまぜる,N1,v1,"""to mix"""
取り戻す,とりもどす,N1,v5s,"""to take back"""
取り寄せる,とりよせる,N1,v1,"""to order"""
嘆く,なげく,N1,v5k,"""to lament"""
投げ出す,なげだす,N1,v5s,"""to throw down"""
詰る,なじる,N1,v5r,"""to rebuke"""
懐く,なつく,N1,v5k,"""to become attached (to)"""
名付ける,なづける,N1,v1,"""to name"""
嘗める,なめる,N1,v1,"""to lick"""
悩ます,なやます,N1,v5s,"""to afflict"""
成り立つ,なりたつ,N1,v5t,"""to consist of"""
似通う,にかよう,N1,v5u,"""to resemble closely"""
賑わう,にぎわう,N1,v5u,"""to be crowded with people"""
逃げ出す,にげだす,N1,v5s,"""to run away"""
滲む,にじむ,N1,v5m,"""to run (of liquid)"""
担う,になう,N1,v5u,"""to carry on one's shoulder"""
鈍る,にぶる,N1,v5r,"""to become blunt"""
抜かす,ぬかす,N1,v5s,"""to omit"""
抜け出す,ぬけだす,N1,v5s,"""to slip out"""
寝かせる,ねかせる,N1,v1,"""to put to bed"""
捩れる,ねじれる,N1,v1,"""to get twisted"""
妬む,ねたむ,N1,v5m,"""to be jealous of"""
粘る,ねばる,N1,v5r,"""to be sticky"""
練る,ねる,N1,v5r,"""to knead"""
逃す,のがす,N1,v5s,"""to miss (e.g. a chance)"""
逃れる,のがれる,N1,v1,"""to escape"""
乗っ取る,のっとる,N1,v5r,"""to take possession of (forcibly)"""
罵る,ののしる,N1,v5r,"""to abuse (verbally)"""
飲み込む,のみこむ,N1,v5m,"""to swallow"""
乗り込む,のりこむ,N1,v5m,"""to board (a train"
営む,いとなむ,N1,v5m,"""to run (a business)"""
挑む,いどむ,N1,v5m,"""to challenge to (a fight"
受かる,うかる,N1,v5r,"""to pass (examination)"""
