kanji,reading,level,pos,meaning_en
青い,あおい,N5,adj-i,"""blue"""
赤い,あかい,N5,adj-i,"""red"""
明るい,あかるい,N5,adj-i,"""light"""
暖かい,あたたかい,N5,adj-i,"""warm"""
新しい,あたらしい,N5,adj-i,"""new"""
暑い,あつい,N5,adj-i,"""hot"""
熱い,あつい,N5,adj-i,"""hot (to the touch)"""
厚い,あつい,N5,adj-i,"""thick"""
危ない,あぶない,N5,adj-i,"""dangerous"""
甘い,あまい,N5,adj-i,"""sweet-tasting"""
忙しい,いそがしい,N5,adj-i,"""busy"""
痛い,いたい,N5,adj-i,"""painful"""
薄い,うすい,N5,adj-i,"""thin (of an object)"""
美味しい,おいしい,N5,adj-i,"""good(-tasting)"""
多い,おおい,N5,adj-i,"""many"""
大きい,おおきい,N5,adj-i,"""big"""
遅い,おそい,N5,adj-i,"""slow"""
重い,おもい,N5,adj-i,"""heavy"""
面白い,おもしろい,N5,adj-i,"""interesting"""
辛い,からい,N5,adj-i,"""spicy"""
軽い,かるい,N5,adj-i,"""light (i.e. not heavy)"""
可愛い,かわいい,N5,adj-i,"""cute"""
黄色い,きいろい,N5,adj-i,"""yellow"""
汚い,きたない,N5,adj-i,"""dirty"""
暗い,くらい,N5,adj-i,"""dark"""
黒い,くろい,N5,adj-i,"""black"""
寒い,さむい,N5,adj-i,"""cold (e.g. weather)"""
白い,しろい,N5,adj-i,"""white"""
少ない,すくない,N5,adj-i,"""few"""
涼しい,すずしい,N5,adj-i,"""cool"""
狭い,せまい,N5,adj-i,"""narrow"""
高い,たかい,N5,adj-i,"""high"""
楽しい,たのしい,N5,adj-i,"""enjoyable"""
小さい,ちいさい,N5,adj-i,"""small"""
近い,ちかい,N5,adj-i,"""near"""
冷たい,つめたい,N5,adj-i,"""cold (to the touch)"""
強い,つよい,N5,adj-i,"""strong"""
遠い,とおい,N5,adj-i,"""far"""
長い,ながい,N5,adj-i,"""long (distance"
温い,ぬるい,N5,adj-i,"""lukewarm"""
早い,はやい,N5,adj-i,"""fast"""
速い,はやい,N5,adj-i,"""fast"""
低い,ひくい,N5,adj-i,"""low (rank"
広い,ひろい,N5,adj-i,"""spacious"""
太い,ふとい,N5,adj-i,"""fat"""
古い,ふるい,N5,adj-i,"""old"""
欲しい,ほしい,N5,adj-i,"""wanting (to have)"""
細い,ほそい,N5,adj-i,"""thin"""
短い,みじかい,N5,adj-i,"""short"""
難しい,むずかしい,N5,adj-i,"""difficult"""
易しい,やさしい,N5,adj-i,"""easy"""
安い,やすい,N5,adj-i,"""cheap"""
弱い,よわい,N5,adj-i,"""weak"""
若い,わかい,N5,adj-i,"""young"""
悪い,わるい,N5,adj-i,"""bad"""
