kanji,reading,level,pos,meaning_en
～区,～く,N4,unknown,""""""
とうとう,とうとう,N4,unknown,""""""
しっかり,しっかり,N4,unknown,""""""
やはり; やっぱり,やはり; やっぱり,N4,unknown,""""""
～月,～つき,N4,unknown,""""""
～会,～かい,N4,unknown,""""""
うかがう,うかがう,N4,unknown,""""""
僕,ぼく,N4,pn,"""I"""
運動,うんどうする,N4,unknown,""""""
もし,もし,N4,int,"""excuse me! (when calling out to someone)"""
心配,しんぱいする,N4,unknown,""""""
～ございます,～ございます,N4,unknown,""""""
ほとんど,ほとんど,N4,unknown,""""""
つもり,つもり,N4,unknown,""""""
だめ,だめ,N4,unknown,""""""
うん,うん,N4,int,"""yes"""
ごみ,ごみ,N4,unknown,""""""
アフリカ,アフリカ,N4,unknown,""""""
彼,かれ,N4,pn,"""he"""
いらっしゃる,いらっしゃる,N4,unknown,""""""
～製,～せい,N4,unknown,""""""
～軒,～けん,N4,unknown,""""""
そう,そう,N4,aux,"""appearing that"""
レポート; リポート,レポート; リポート,N4,unknown,""""""
すると,すると,N4,conj,"""(and) then"""
ガラス,ガラス,N4,unknown,""""""
～学部,～がくぶ,N4,unknown,""""""
ちっとも,ちっとも,N4,unknown,""""""
できるだけ,できるだけ,N4,unknown,""""""
ガス,ガス,N4,unknown,""""""
うそ,嘘,N4,unknown,""""""
それに,それに,N4,unknown,""""""
パート (タイム),パート (タイム),N4,unknown,""""""
～式,～しき,N4,unknown,""""""
出席,しゅっせきする,N4,unknown,""""""
～家,～か,N4,unknown,""""""
建て,～だて,N4,unknown,""""""
だから,だから,N4,conj,"""so"""
さっき,さっき,N4,unknown,""""""
なるべく,なるべく,N4,unknown,""""""
いくら～ても,いくら～ても,N4,unknown,""""""
けんかする,けんかする,N4,unknown,""""""
故障,こしょうする,N4,unknown,""""""
そんな,そんな,N4,adj-pn,"""such"""
やっと,やっと,N4,unknown,""""""
ぶどう,ぶどう,N4,unknown,""""""
準備,じゅんびする,N4,unknown,""""""
～(て) しまう,～(て) しまう,N4,unknown,""""""
なさる,なさる,N4,unknown,""""""
もらう,もらう,N4,unknown,""""""
おかしい,おかしい,N4,unknown,""""""
くれる,くれる,N4,unknown,""""""
～員,～いん,N4,unknown,""""""
いただく,頂く,N4,unknown,""""""
もちろん,もちろん,N4,unknown,""""""
または,または,N4,unknown,""""""
けがする,けがする,N4,unknown,""""""
～ばかり,～ばかり,N4,unknown,""""""
～だす,～だす,N4,unknown,""""""
あいさつする,挨拶,N4,unknown,""""""
運転,うんてんする,N4,unknown,""""""
案内,あんないする,N4,unknown,""""""
招待,しょうたいする,N4,unknown,""""""
はず,はず,N4,unknown,""""""
おる,おる,N4,unknown,""""""
ごらんになる,,N4,unknown,""""""
よろしい,よろしい,N4,unknown,""""""
おつり,おつり,N4,unknown,""""""
チェックする,チェックする,N4,unknown,""""""
ごちそう,ごちそう,N4,unknown,""""""
遠慮,えんりょする,N4,unknown,""""""
入学,にゅうがくする,N4,unknown,""""""
彼ら,かれら,N4,pn,"""they"""
いっぱい,一杯,N4,unknown,""""""
アメリカ,アメリカ,N4,unknown,""""""
生産,せいさんする,N4,unknown,""""""
おもちゃ,おもちゃ,N4,unknown,""""""
～ちゃん,～ちゃん,N4,unknown,""""""
あんな,あんな,N4,adj-pn,"""that sort of"""
～続ける,～つづける,N4,unknown,""""""
ひどい,ひどい,N4,unknown,""""""
～やすい,～やすい,N4,unknown,""""""
びっくりする,びっくりする,N4,unknown,""""""
うまい,うまい,N4,unknown,""""""
しばらく,しばらく,N4,unknown,""""""
計画,けいかくする,N4,unknown,""""""
こう,こう,N4,unknown,""""""
おいでになる,おいでになる,N4,unknown,""""""
支度,したくする,N4,unknown,""""""
～始める,～はじめる,N4,unknown,""""""
きっと,きっと,N4,unknown,""""""
まず,まず,N4,unknown,""""""
お金持ち,かねもち; おかねもち,N4,unknown,""""""
それほど,それほど,N4,unknown,""""""
～まま,～まま,N4,unknown,""""""
～(に) よると,～(に) よると,N4,unknown,""""""
堅; 硬; 固い,かたい,N4,unknown,""""""
彼女,かのじょ,N4,pn,"""she"""
それで,それで,N4,unknown,""""""
あげる,あげる,N4,unknown,""""""
放送,ほうそうする,N4,unknown,""""""
ファックス,ファックス,N4,unknown,""""""
承知,しょうちする,N4,unknown,""""""
高校; 高等学校,こうこう; こうとうがっこう,N4,unknown,""""""
～おわる,～おわる,N4,unknown,""""""
なるほど,なるほど,N4,unknown,""""""
くださる,くださる,N4,unknown,""""""
～様,～さま,N4,unknown,""""""
アジア,アジア,N4,unknown,""""""
あ,あ,N4,int,"""ah"""
～代,～だい,N4,unknown,""""""
退院,たいいんする,N4,unknown,""""""
～おき,～おき,N4,unknown,""""""
御～,ご～,N4,unknown,""""""
世話,せわする,N4,unknown,""""""
君,きみ,N4,pn,"""you"""
かっこう,格好,N4,unknown,""""""
かまう,,N4,unknown,""""""
出発,しゅっぱつする,N4,unknown,""""""
拝見,はいけんする,N4,unknown,""""""
いじめる,いじめる,N4,unknown,""""""
回る、回す,まわる、まわす,N4,unknown,""""""
～君,～くん,N4,unknown,""""""
おっしゃる,おっしゃる,N4,unknown,""""""
スーパー (マーケット),スーパー (マーケット),N4,unknown,""""""
ひげ,ひげ,N4,unknown,""""""
けれど; けれども,けれど; けれども,N4,unknown,""""""
～(に) ついて,～(に) ついて,N4,unknown,""""""
コンピュータ; コンピューター,コンピュータ; コンピューター,N4,unknown,""""""
経験,けいけんする,N4,unknown,""""""
役に立つ,やくにたつ,N4,exp,"""to be helpful"""
もうすぐ,もうすぐ,N4,unknown,""""""
真中,まんなか,N4,unknown,""""""
入院,にゅういんする,N4,unknown,""""""
～町,～ちょう,N4,unknown,""""""
相談,そうだんする,N4,unknown,""""""
食事,しょくじする,N4,unknown,""""""
おかげ,お陰,N4,unknown,""""""
～にくい,～にくい,N4,unknown,""""""
生活,せいかつする,N4,unknown,""""""
～目,～め,N4,unknown,""""""
輸出,ゆしゅつする,N4,unknown,""""""
すり,すり,N4,unknown,""""""
うれしい,嬉しい,N4,unknown,""""""
これから,これから,N4,unknown,""""""
たまに,たまに,N4,unknown,""""""
