kanji,reading,level,pos,meaning_en
純粋,じゅんすい,N2,adj-na,"""pure"""
消極的,しょうきょくてき,N2,adj-na,"""negative"""
上品,じょうひん,N2,adj-na,"""elegant"""
正味,しょうみ,N2,adj-no,"""net (amount)"""
垂直,すいちょく,N2,adj-na,"""vertical"""
水平,すいへい,N2,adj-na,"""horizontal"""
素直,すなお,N2,adj-na,"""obedient"""
スマート,スマート,N2,adj-na,"""smart (clothing"
卒直,そっちょく,N2,adj-na,"""frank"""
妥当,だとう,N2,adj-na,"""valid"""
架空,かくう,N2,adj-no,"""fictitious"""
格別,かくべつ,N2,adj-no,"""particular"""
空っぽ,からっぽ,N2,adj-no,"""empty"""
下品,げひん,N2,adj-na,"""vulgar"""
謙虚,けんきょ,N2,adj-na,"""modest"""
厳重,げんじゅう,N2,adj-na,"""strict"""
懸命,けんめい,N2,adj-na,"""eager"""
強引,ごういん,N2,adj-na,"""overbearing"""
高級,こうきゅう,N2,adj-na,"""high-class"""
公共,こうきょう,N2,adj-no,"""public (facilities"
公式,こうしき,N2,adj-no,"""official"""
高層,こうそう,N2,adj-no,"""high-rise (building)"""
高等,こうとう,N2,adj-na,"""high class"""
国立,こくりつ,N2,adj-no,"""national"""
逆さ,さかさ,N2,adj-no,"""inverted"""
逆様,さかさま,N2,adj-na,"""inverted"""
臨時,りんじ,N2,adj-no,"""temporary"""
安易,あんい,N2,adj-na,"""easy"""
イコール,イコール,N2,adj-na,"""equal"""
一流,いちりゅう,N2,adj-no,"""first-class"""
売り切れ,うりきれ,N2,adj-no,"""sold-out"""
透明,とうめい,N2,adj-na,"""transparent"""
特殊,とくしゅ,N2,adj-na,"""special"""
特定,とくてい,N2,adj-no,"""specific"""
傾らか,なだらか,N2,adj-na,"""gently sloping"""
斜め,ななめ,N2,adj-no,"""slanting"""
生意気,なまいき,N2,adj-na,"""impertinent"""
虹,にじ,N2,adj-no,"""second"""
俄,にわか,N2,adj-na,"""sudden"""
呑気,のんき,N2,adj-na,"""easy"""
斜,はす,N2,adj-no,"""diagonal"""
話中,はなしちゅう,N2,adj-no,"""busy (phone)"""
卑怯,ひきょう,N2,adj-na,"""cowardly"""
不規則,ふきそく,N2,adj-na,"""irregular"""
複数,ふくすう,N2,adj-no,"""plural"""
不潔,ふけつ,N2,adj-na,"""unclean"""
物騒,ぶっそう,N2,adj-na,"""dangerous"""
フリー,フリー,N2,adj-na,"""free (of restraint"
平気,へいき,N2,adj-na,"""cool"""
平凡,へいぼん,N2,adj-na,"""ordinary"""
別々,べつべつ,N2,adj-no,"""separate"""
膨大,ぼうだい,N2,adj-na,"""huge"""
朗らか,ほがらか,N2,adj-na,"""cheerful"""
まあまあ,まあまあ,N2,adj-no,"""so-so"""
真っ暗,まっくら,N2,adj-na,"""pitch-dark"""
真っ黒,まっくろ,N2,adj-na,"""pitch black"""
真っ青,まっさお,N2,adj-na,"""deep blue"""
真っ白,まっしろ,N2,adj-na,"""pure white"""
稀,まれ,N2,adj-na,"""rare"""
民間,みんかん,N2,adj-no,"""private"""
無地,むじ,N2,adj-no,"""plain"""
無数,むすう,N2,adj-no,"""innumerable"""
モダン,モダン,N2,adj-na,"""modern"""
有料,ゆうりょう,N2,adj-no,"""fee-charging"""
余計,よけい,N2,adj-na,"""extra"""
短期,たんき,N2,adj-no,"""short-term"""
単数,たんすう,N2,adj-no,"""single"""
強気,つよき,N2,adj-na,"""confident"""
的確,てきかく,N2,adj-na,"""accurate"""
適確,てきかく,N2,adj-na,"""accurate"""
手頃,てごろ,N2,adj-na,"""handy"""
