kanji,reading,level,pos,meaning_en
就任,しゅうにん,N2,n,"""assumption (of office)"""
周辺,しゅうへん,N2,n,"""circumference"""
重役,じゅうやく,N2,n,"""(company) director"""
終了,しゅうりょう,N2,n,"""end"""
重量,じゅうりょう,N2,n,"""weight"""
重力,じゅうりょく,N2,n,"""gravity"""
熟語,じゅくご,N2,n,"""kanji compound"""
祝日,しゅくじつ,N2,n,"""national holiday"""
縮小,しゅくしょう,N2,n,"""reduction"""
受験,じゅけん,N2,n,"""taking an examination (esp. for entrance to a school or university)"""
主語,しゅご,N2,n,"""subject"""
主人,しゅじん,N2,n,"""head (of a household)"""
出勤,しゅっきん,N2,n,"""going to work"""
述語,じゅつご,N2,n,"""predicate"""
出張,しゅっちょう,N2,n,"""business trip"""
寿命,じゅみょう,N2,n,"""lifespan"""
主役,しゅやく,N2,n,"""leading part"""
受話器,じゅわき,N2,n,"""(telephone) receiver"""
循環,じゅんかん,N2,n,"""circulation"""
巡査,じゅんさ,N2,n,"""police officer"""
順序,じゅんじょ,N2,n,"""order"""
純情,じゅんじょう,N2,n,"""pure heart"""
消化,しょうか,N2,n,"""digestion (of food)"""
小学生,しょうがくせい,N2,n,"""elementary school student"""
将棋,しょうぎ,N2,n,"""shogi"""
蒸気,じょうき,N2,n,"""steam"""
定規,じょうぎ,N2,n,"""(measuring) ruler"""
上級,じょうきゅう,N2,n,"""upper level"""
商業,しょうぎょう,N2,n,"""commerce"""
賞金,しょうきん,N2,n,"""prize money"""
上下,じょうげ,N2,n,"""top and bottom"""
障子,しょうじ,N2,n,"""shoji (paper sliding door)"""
商社,しょうしゃ,N2,n,"""trading company"""
乗車,じょうしゃ,N2,n,"""boarding (a train"
上旬,じょうじゅん,N2,n,"""first third of a month"""
小数,しょうすう,N2,n,"""fraction (part of)"""
商店,しょうてん,N2,n,"""shop"""
焦点,しょうてん,N2,n,"""focus"""
消毒,しょうどく,N2,n,"""disinfection"""
勝敗,しょうはい,N2,n,"""victory or defeat"""
蒸発,じょうはつ,N2,n,"""evaporation"""
勝負,しょうぶ,N2,n,"""victory or defeat"""
小便,しょうべん,N2,n,"""urine"""
消防署,しょうぼうしょ,N2,n,"""fire station"""
正面,しょうめん,N2,n,"""front"""
消耗,しょうもう,N2,n,"""exhaustion"""
初級,しょきゅう,N2,n,"""elementary level"""
助教授,じょきょうじゅ,N2,n,"""assistant professor"""
食塩,しょくえん,N2,n,"""table salt"""
職人,しょくにん,N2,n,"""craftsman"""
職場,しょくば,N2,n,"""one's post"""
書籍,しょせき,N2,n,"""book"""
食器,しょっき,N2,n,"""tableware"""
ショップ,ショップ,N2,n,"""shop"""
書店,しょてん,N2,n,"""bookshop"""
書道,しょどう,N2,n,"""calligraphy (esp. Asian calligraphy based on Chinese characters)"""
初歩,しょほ,N2,n,"""basics"""
