kanji,reading,level,pos,meaning_en
溜める,ためる,N3,v1,"""to amass"""
頼る,たよる,N3,v5r,"""to rely on"""
散らす,ちらす,N3,v5s,"""to scatter"""
散る,ちる,N3,v5r,"""to fall (e.g. blossoms"
通じる,つうじる,N3,v1,"""to be open (to traffic)"""
捕まる,つかまる,N3,v5r,"""to be caught"""
掴む,つかむ,N3,v5m,"""to seize"""
付合う,つきあう,N3,v5u,"""to associate with"""
付く,つく,N3,v5k,"""to be attached"""
就く,つく,N3,v5k,"""to take (seat"
突く,つく,N3,v5k,"""to prick"""
次ぐ,つぐ,N3,v5g,"""to follow"""
注ぐ,つぐ,N3,v5g,"""to pour (into a vessel)"""
付ける,つける,N3,v1,"""to attach"""
着ける,つける,N3,v1,"""to attach"""
伝わる,つたわる,N3,v5r,"""to spread (of a rumour"
繋がる,つながる,N3,v5r,"""to be tied together"""
繋ぐ,つなぐ,N3,v5g,"""to connect"""
繋げる,つなげる,N3,v1,"""to connect"""
積む,つむ,N3,v5m,"""to pile up"""
詰める,つめる,N3,v1,"""to stuff into"""
積もる,つもる,N3,v5r,"""to pile up"""
出会う,であう,N3,v5u,"""to meet (by chance)"""
適する,てきする,N3,vs-s,"""to fit"""
通す,とおす,N3,v5s,"""to stick through"""
通り過ぎる,とおりすぎる,N3,v1,"""to go past"""
溶く,とく,N3,v5k,"""to dissolve (paint)"""
解く,とく,N3,v5k,"""to untie"""
退く,どく,N3,v5k,"""to step aside"""
溶ける,とける,N3,v1,"""to melt"""
解ける,とける,N3,v1,"""to be solved"""
閉じる,とじる,N3,v1,"""to close (e.g. book"
届く,とどく,N3,v5k,"""to reach"""
飛ばす,とばす,N3,v5s,"""to let fly"""
飛び出す,とびだす,N3,v5s,"""to jump out"""
留める,とめる,N3,v1,"""to stop"""
泊める,とめる,N3,v1,"""to give shelter to"""
取り上げる,とりあげる,N3,v1,"""to pick up"""
取れる,とれる,N3,v1,"""to come off (of a button"
流す,ながす,N3,v5s,"""to drain"""
眺める,ながめる,N3,v1,"""to look at"""
流れる,ながれる,N3,v1,"""to stream"""
亡くす,なくす,N3,v5s,"""to lose (through death; e.g. a wife"
殴る,なぐる,N3,v5r,"""to strike"""
怠ける,なまける,N3,v1,"""to be lazy"""
悩む,なやむ,N3,v5m,"""to be worried"""
鳴らす,ならす,N3,v5s,"""to ring"""
為る,なる,N3,v5r,"""to become"""
生る,なる,N3,v5r,"""to bear fruit"""
馴れる,なれる,N3,v1,"""to get used to"""
似合う,にあう,N3,v5u,"""to suit"""
煮える,にえる,N3,v1,"""to be boiled"""
握る,にぎる,N3,v5r,"""to clasp"""
煮る,にる,N3,v1,"""to boil"""
抜く,ぬく,N3,v5k,"""to pull out"""
抜ける,ぬける,N3,v1,"""to come out"""
濡らす,ぬらす,N3,v5s,"""to wet"""
願う,ねがう,N3,v5u,"""to desire"""
残す,のこす,N3,v5s,"""to leave (behind)"""
乗せる,のせる,N3,v1,"""to place on (something)"""
載せる,のせる,N3,v1,"""to place on (something)"""
覗く,のぞく,N3,v5k,"""to peek (through a keyhole"
除く,のぞく,N3,v5k,"""to remove"""
望む,のぞむ,N3,v5m,"""to desire"""
伸ばす,のばす,N3,v5s,"""to grow long (e.g. hair"
延ばす,のばす,N3,v5s,"""to grow long (e.g. hair"
伸びる,のびる,N3,v1,"""to stretch"""
延びる,のびる,N3,v1,"""to stretch"""
述べる,のべる,N3,v1,"""to state"""
上る,のぼる,N3,v5r,"""to ascend"""
昇る,のぼる,N3,v5r,"""to ascend"""
載る,のる,N3,v5r,"""to be placed on"""
生える,はえる,N3,v1,"""to grow"""
計る,はかる,N3,v5r,"""to measure"""
量る,はかる,N3,v5r,"""to measure"""
測る,はかる,N3,v5r,"""to measure"""
掃く,はく,N3,v5k,"""to sweep"""
吐く,はく,N3,v5k,"""to vomit"""
外す,はずす,N3,v5s,"""to remove"""
外れる,はずれる,N3,v1,"""to be disconnected"""
罰する,ばっする,N3,vs-s,"""to punish"""
話し合う,はなしあう,N3,v5u,"""to discuss"""
離す,はなす,N3,v5s,"""to separate"""
放す,はなす,N3,v5s,"""to release"""
離れる,はなれる,N3,v1,"""to be separated"""
放れる,はなれる,N3,v1,"""to get free (from)"""
省く,はぶく,N3,v5k,"""to omit"""
流行る,はやる,N3,v5r,"""to be popular"""
引っ張る,ひっぱる,N3,v5r,"""to pull"""
冷やす,ひやす,N3,v5s,"""to cool"""
広がる,ひろがる,N3,v5r,"""to spread (out)"""
広げる,ひろげる,N3,v1,"""to spread"""
広める,ひろめる,N3,v1,"""to spread"""
深まる,ふかまる,N3,v5r,"""to deepen"""
拭く,ふく,N3,v5k,"""to wipe"""
含む,ふくむ,N3,v5m,"""to contain"""
含める,ふくめる,N3,v1,"""to include (in a group or scope)"""
防ぐ,ふせぐ,N3,v5g,"""to defend against"""
打つ,ぶつ,N3,v5t,"""to hit (someone)"""
ぶつかる,ぶつかる,N3,v5r,"""to bump into"""
増やす,ふやす,N3,v5s,"""to increase"""
殖やす,ふやす,N3,v5s,"""to increase"""
振る,ふる,N3,v5r,"""to wave"""
震える,ふるえる,N3,v1,"""to shiver"""
触れる,ふれる,N3,v1,"""to touch"""
減らす,へらす,N3,v5s,"""to abate"""
減る,へる,N3,v5r,"""to decrease (in size or number)"""
吠える,ほえる,N3,v1,"""to bark"""
微笑む,ほほえむ,N3,v5m,"""to smile"""
任せる,まかせる,N3,v1,"""to leave (a matter"
巻く,まく,N3,v5k,"""to wind"""
蒔く,まく,N3,v5k,"""to sow"""
撒く,まく,N3,v5k,"""to scatter"""
混ざる,まざる,N3,v5r,"""to be mixed"""
交ざる,まざる,N3,v5r,"""to be mixed"""
混じる,まじる,N3,v5r,"""to be mixed"""
交じる,まじる,N3,v5r,"""to be mixed"""
増す,ます,N3,v5s,"""to increase"""
マスター,マスター,N3,vs,"""to master (a skill)"""
混ぜる,まぜる,N3,v1,"""to mix"""
交ぜる,まぜる,N3,v1,"""to mix"""
学ぶ,まなぶ,N3,v5b,"""to learn"""
招く,まねく,N3,v5k,"""to invite"""
裂ける,さける,N3,v1,"""to split"""
裁く,さばく,N3,v5k,"""to judge"""
擦る,する,N3,v5r,"""to rub"""
沿う,そう,N3,v5u,"""to run along"""
添う,そう,N3,v5u,"""to meet (wishes"
高まる,たかまる,N3,v5r,"""to rise"""
断つ,たつ,N3,v5t,"""to sever"""
接ぐ,つぐ,N3,v5g,"""to join"""
継ぐ,つぐ,N3,v5g,"""to succeed (a person"
摘む,つむ,N3,v5m,"""to pick"""
強まる,つよまる,N3,v5r,"""to get strong"""
強める,つよめる,N3,v1,"""to strengthen"""
問う,とう,N3,v5u-s,"""to ask"""
説く,とく,N3,v5k,"""to explain"""
綴じる,とじる,N3,v1,"""to bind"""
慣らす,ならす,N3,v5s,"""to accustom"""
馴らす,ならす,N3,v5s,"""to accustom"""
臨む,のぞむ,N3,v5m,"""to look out on"""
映える,はえる,N3,v1,"""to shine"""
諮る,はかる,N3,v5r,"""to consult with"""
図る,はかる,N3,v5r,"""to plan"""
生やす,はやす,N3,v5s,"""to grow"""
広まる,ひろまる,N3,v5r,"""to spread"""
深める,ふかめる,N3,v1,"""to deepen"""
経る,へる,N3,v1,"""to pass"""
見掛ける,みかける,N3,v1,"""to (happen to) see"""
捲る,めくる,N3,v5r,"""to turn over"""
弱まる,よわまる,N3,v5r,"""to abate"""
弱める,よわめる,N3,v1,"""to weaken"""
