kanji,reading,level,pos,meaning_en
足; 脚,あし,N5,unknown,""""""
あそこ,あそこ,N5,unknown,""""""
あちら,あちら,N5,unknown,""""""
あっち,あっち,N5,unknown,""""""
あなた,あなた,N5,unknown,""""""
あの,あの,N5,int,"""say"""
あれ,あれ,N5,int,"""huh?"""
いい; よい,いい; よい,N5,unknown,""""""
いいえ,いいえ,N5,int,"""no"""
いかが,いかが,N5,unknown,""""""
行く,いく; ゆく,N5,unknown,""""""
いくつ,いくつ,N5,unknown,""""""
いつ,いつ,N5,unknown,""""""
いつも,いつも,N5,unknown,""""""
うち,うち,N5,unknown,""""""
うるさい,うるさい,N5,unknown,""""""
ええ,ええ,N5,int,"""yes"""
～円,～えん,N5,unknown,""""""
お～,お～,N5,unknown,""""""
大きな,おおきな,N5,adj-pn,"""big"""
伯父; 叔父さん,おじさん,N5,unknown,""""""
おじいさん,おじいさん,N5,unknown,""""""
男の子,おとこのこ,N5,exp,"""boy"""
おととし,おととし,N5,unknown,""""""
同じ,おなじ,N5,adj-f,"""same"""
伯母さん; 叔母さん,おばさん,N5,unknown,""""""
おばあさん,おばあさん,N5,unknown,""""""
おまわりさん,おまわりさん,N5,unknown,""""""
女の子,おんなのこ,N5,exp,"""girl"""
～回,～かい,N5,unknown,""""""
～階,～かい,N5,unknown,""""""
かかる,かかる,N5,unknown,""""""
～か月,～かげつ,N5,unknown,""""""
かける,かける,N5,unknown,""""""
～月,～がつ,N5,unknown,""""""
かばん,かばん,N5,unknown,""""""
かぶる,かぶる,N5,unknown,""""""
～がる,～がる,N5,unknown,""""""
カレー,カレー,N5,unknown,""""""
川; 河,かわ,N5,unknown,""""""
～側,～がわ,N5,unknown,""""""
キロ; キログラム,キロ; キログラム,N5,unknown,""""""
キロ; キロメートル,キロ; キロメートル,N5,unknown,""""""
下さい,ください,N5,exp,"""please (give me)"""
～くらい; ぐらい,～くらい; ぐらい,N5,unknown,""""""
グラム,グラム,N5,unknown,""""""
結婚,けっこん (する),N5,unknown,""""""
～個,～こ,N5,unknown,""""""
～語,～ご,N5,unknown,""""""
コーヒー,コーヒー,N5,unknown,""""""
ここ,ここ,N5,unknown,""""""
こちら,こちら,N5,unknown,""""""
こっち,こっち,N5,unknown,""""""
この,この,N5,unknown,""""""
コピーする,コピーする,N5,unknown,""""""
これ,これ,N5,int,"""hey"""
～ころ; ～ごろ,～ころ; ～ごろ,N5,unknown,""""""
こんな,こんな,N5,adj-pn,"""this sort of"""
さあ,さあ,N5,int,"""come (on)"""
～歳,～さい,N5,unknown,""""""
～冊,～さつ,N5,unknown,""""""
～さん,～さん,N5,unknown,""""""
散歩,さんぽ (する),N5,unknown,""""""
～時,～じ,N5,unknown,""""""
しかし,しかし,N5,unknown,""""""
～時間,～じかん,N5,unknown,""""""
自分,じぶん,N5,pn,"""myself"""
じゃ; じゃあ,じゃ; じゃあ,N5,unknown,""""""
～中,～じゅう,N5,unknown,""""""
～週間,～しゅうかん,N5,unknown,""""""
～人,～じん,N5,unknown,""""""
～すぎ,～すぎ,N5,unknown,""""""
すぐに,すぐに,N5,unknown,""""""
～ずつ,～ずつ,N5,unknown,""""""
ズボン,ズボン,N5,unknown,""""""
する,する,N5,unknown,""""""
ゼロ,ゼロ,N5,unknown,""""""
そう; そうです,そう; そうです,N5,unknown,""""""
掃除,そうじ (する),N5,unknown,""""""
そうして; そして,そうして; そして,N5,unknown,""""""
そこ,そこ,N5,unknown,""""""
そちら,そちら,N5,unknown,""""""
そっち,そっち,N5,unknown,""""""
その,その,N5,unknown,""""""
そば,そば,N5,unknown,""""""
それ,それ,N5,int,"""there!"""
それから,それから,N5,unknown,""""""
それでは,それでは,N5,unknown,""""""
～台,～だい,N5,unknown,""""""
～だけ,～だけ,N5,unknown,""""""
～たち,～たち,N5,unknown,""""""
たて,たて,N5,unknown,""""""
たばこ,たばこ,N5,unknown,""""""
誰,だれ,N5,pn,"""who"""
誰か,だれか,N5,pn,"""someone"""
小さな,ちいさな,N5,adj-pn,"""small"""
～中,～ちゅう,N5,unknown,""""""
ちょっと,ちょっと,N5,unknown,""""""
つける,つける,N5,unknown,""""""
つまらない,つまらない,N5,unknown,""""""
できる,できる,N5,unknown,""""""
では,では,N5,conj,"""then"""
でも,でも,N5,conj,"""but"""
～度,～ど,N5,unknown,""""""
どう,どう,N5,int,"""whoa (command used to stop a horse"
どうして,どうして,N5,unknown,""""""
どうも,どうも,N5,int,"""thank you"""
十,(〜を) とお,N5,unknown,""""""
～時,～とき,N5,unknown,""""""
どこ,どこ,N5,unknown,""""""
どちら,どちら,N5,unknown,""""""
どっち,どっち,N5,unknown,""""""
とても,とても,N5,unknown,""""""
どなた,どなた,N5,unknown,""""""
どの,どの,N5,unknown,""""""
どれ,どれ,N5,unknown,""""""
どんな,どんな,N5,adj-pn,"""what kind of"""
ない,ない,N5,aux-adj,"""not"""
なぜ,なぜ,N5,unknown,""""""
～など,～など,N5,unknown,""""""
何,なん; なに,N5,unknown,""""""
なる,なる,N5,suf,"""that is in"""
何～,なん～,N5,unknown,""""""
にぎやか,にぎやか,N5,unknown,""""""
～日,～にち,N5,unknown,""""""
～人,～にん,N5,unknown,""""""
～年,～ねん,N5,unknown,""""""
はい,はい,N5,int,"""yes"""
～杯,～はい,N5,unknown,""""""
はく,はく,N5,unknown,""""""
初め; 始め,はじめ,N5,unknown,""""""
～番,～ばん,N5,unknown,""""""
～匹,～ひき,N5,unknown,""""""
～分,～ふん,N5,unknown,""""""
ページ,ページ,N5,unknown,""""""
勉強,べんきょう (する),N5,unknown,""""""
ボタン,ボタン,N5,unknown,""""""
～本,～ほん,N5,unknown,""""""
～枚,～まい,N5,unknown,""""""
毎月,まいげつ; まいつき,N5,unknown,""""""
毎年,まいねん; まいとし,N5,unknown,""""""
～前,～まえ,N5,unknown,""""""
まずい,まずい,N5,unknown,""""""
また,また,N5,unknown,""""""
まだ,まだ,N5,unknown,""""""
まっすぐ,まっすぐ,N5,unknown,""""""
丸い; 円い,まるい,N5,unknown,""""""
みんな,みんな,N5,unknown,""""""
メートル,メートル,N5,unknown,""""""
